2026-05-14 01:27:36 {"step": 2400, "split": "iid", "loss": 1.9396965503692627, "lossA": 1.8466447591781616, "lossB": 0.0930517315864563, "lossA_seg": 0.14299346506595612, "lossA_seg_bce": 0.01626981608569622, "lossA_seg_dice": 0.12672364711761475, "lossA_z": 0.31972384452819824, "lossA_q": 0.07448671013116837, "lossA_pos": 0.12218128889799118, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 01:47:29 {"step": 2600, "split": "iid", "loss": 1.6370532512664795, "lossA": 1.546087384223938, "lossB": 0.09096591174602509, "lossA_seg": 0.12099359929561615, "lossA_seg_bce": 0.014218377880752087, "lossA_seg_dice": 0.10677522420883179, "lossA_z": 0.26725661754608154, "lossA_q": 0.06313929706811905, "lossA_pos": 0.10268550366163254, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 02:08:23 {"step": 2800, "split": "ood", "loss": 1.3389956951141357, "lossA": 1.2368030548095703, "lossB": 0.10219259560108185, "lossA_seg": 0.049114130437374115, "lossA_seg_bce": 0.005768796429038048, "lossA_seg_dice": 0.04334533214569092, "lossA_z": 0.22175809741020203, "lossA_q": 0.05507149174809456, "lossA_pos": 0.095307856798172, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 02:27:51 {"step": 3000, "split": "iid", "loss": 1.3247164487838745, "lossA": 1.233098030090332, "lossB": 0.0916183739900589, "lossA_seg": 0.092926025390625, "lossA_seg_bce": 0.007352231536060572, "lossA_seg_dice": 0.08557379245758057, "lossA_z": 0.21282383799552917, "lossA_q": 0.048959460109472275, "lossA_pos": 0.10837318748235703, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 02:46:54 {"step": 3200, "split": "iid", "loss": 1.0295708179473877, "lossA": 0.9393070340156555, "lossB": 0.09026379883289337, "lossA_seg": 0.07374968379735947, "lossA_seg_bce": 0.006510158069431782, "lossA_seg_dice": 0.06723952293395996, "lossA_z": 0.15922212600708008, "lossA_q": 0.042195409536361694, "lossA_pos": 0.10900525003671646, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 03:06:01 {"step": 3400, "split": "iid", "loss": 1.01300048828125, "lossA": 0.9240558743476868, "lossB": 0.08894464373588562, "lossA_seg": 0.05444152653217316, "lossA_seg_bce": 0.00324000371620059, "lossA_seg_dice": 0.05120152235031128, "lossA_z": 0.16161338984966278, "lossA_q": 0.038144178688526154, "lossA_pos": 0.0936129167675972, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 03:24:38 {"step": 3600, "split": "iid", "loss": 0.8866443634033203, "lossA": 0.7962438464164734, "lossB": 0.09040053933858871, "lossA_seg": 0.10529917478561401, "lossA_seg_bce": 0.012897787615656853, "lossA_seg_dice": 0.09240138530731201, "lossA_z": 0.12640897929668427, "lossA_q": 0.03303540498018265, "lossA_pos": 0.10345742106437683, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 03:43:19 {"step": 3800, "split": "iid", "loss": 0.699831485748291, "lossA": 0.6089097261428833, "lossB": 0.09092172980308533, "lossA_seg": 0.032275259494781494, "lossA_seg_bce": 0.0020655991975218058, "lossA_seg_dice": 0.030209660530090332, "lossA_z": 0.10327523946762085, "lossA_q": 0.029351837933063507, "lossA_pos": 0.12362565845251083, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 04:03:08 {"step": 4000, "split": "iid", "loss": 0.6774945259094238, "lossA": 0.5859600305557251, "lossB": 0.09153446555137634, "lossA_seg": 0.04701123386621475, "lossA_seg_bce": 0.002984085585922003, "lossA_seg_dice": 0.04402714967727661, "lossA_z": 0.09704966843128204, "lossA_q": 0.02649708092212677, "lossA_pos": 0.1088135689496994, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 04:22:16 {"step": 4200, "split": "ood", "loss": 0.7162488102912903, "lossA": 0.6163555979728699, "lossB": 0.0998932272195816, "lossA_seg": 0.13353314995765686, "lossA_seg_bce": 0.0246293805539608, "lossA_seg_dice": 0.10890376567840576, "lossA_z": 0.08802188187837601, "lossA_q": 0.023796306923031807, "lossA_pos": 0.07566694915294647, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 04:40:54 {"step": 4400, "split": "ood", "loss": 0.7388798594474792, "lossA": 0.6367239952087402, "lossB": 0.10215584933757782, "lossA_seg": 0.219571053981781, "lossA_seg_bce": 0.06265431642532349, "lossA_seg_dice": 0.15691673755645752, "lossA_z": 0.07192592322826385, "lossA_q": 0.021050503477454185, "lossA_pos": 0.10305999219417572, "lossA_rank_img": 0.01070776954293251, "lossA_rank_cue": 0.0}
2026-05-14 04:59:54 {"step": 4600, "split": "iid", "loss": 0.5871384739875793, "lossA": 0.4965152144432068, "lossB": 0.09062323719263077, "lossA_seg": 0.11383402347564697, "lossA_seg_bce": 0.016144756227731705, "lossA_seg_dice": 0.09768927097320557, "lossA_z": 0.06678618490695953, "lossA_q": 0.019314821809530258, "lossA_pos": 0.11774185299873352, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 05:18:47 {"step": 4800, "split": "iid", "loss": 0.5171380043029785, "lossA": 0.42567747831344604, "lossB": 0.09146054089069366, "lossA_seg": 0.08394771069288254, "lossA_seg_bce": 0.008030643686652184, "lossA_seg_dice": 0.0759170651435852, "lossA_z": 0.05860724300146103, "lossA_q": 0.017778044566512108, "lossA_pos": 0.12366196513175964, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 05:36:08 {"step": 5000, "split": "ood", "loss": 0.460622102022171, "lossA": 0.3584454357624054, "lossB": 0.10217666625976562, "lossA_seg": 0.11071082949638367, "lossA_seg_bce": 0.021074388176202774, "lossA_seg_dice": 0.08963644504547119, "lossA_z": 0.04165976867079735, "lossA_q": 0.015235009603202343, "lossA_pos": 0.09680308401584625, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 05:54:00 {"step": 5200, "split": "ood", "loss": 0.49221378564834595, "lossA": 0.39121997356414795, "lossB": 0.1009938046336174, "lossA_seg": 0.12671348452568054, "lossA_seg_bce": 0.029730774462223053, "lossA_seg_dice": 0.09698271751403809, "lossA_z": 0.04586479812860489, "lossA_q": 0.01409551128745079, "lossA_pos": 0.08434802293777466, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 06:11:49 {"step": 5400, "split": "iid", "loss": 0.4066348075866699, "lossA": 0.31652387976646423, "lossB": 0.09011093527078629, "lossA_seg": 0.09303905814886093, "lossA_seg_bce": 0.010976930148899555, "lossA_seg_dice": 0.08206212520599365, "lossA_z": 0.03698141500353813, "lossA_q": 0.012539435178041458, "lossA_pos": 0.10415315628051758, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 06:29:10 {"step": 5600, "split": "iid", "loss": 0.398192435503006, "lossA": 0.30691295862197876, "lossB": 0.09127946943044662, "lossA_seg": 0.0914374440908432, "lossA_seg_bce": 0.00838606059551239, "lossA_seg_dice": 0.08305138349533081, "lossA_z": 0.03532690554857254, "lossA_q": 0.011441661044955254, "lossA_pos": 0.10959744453430176, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 06:48:19 {"step": 5800, "split": "iid", "loss": 0.3487551808357239, "lossA": 0.2580169439315796, "lossB": 0.09073823690414429, "lossA_seg": 0.0836929976940155, "lossA_seg_bce": 0.006948975846171379, "lossA_seg_dice": 0.07674401998519897, "lossA_z": 0.02716362476348877, "lossA_q": 0.010198427364230156, "lossA_pos": 0.11322960257530212, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 07:07:21 {"step": 6000, "split": "iid", "loss": 0.34226125478744507, "lossA": 0.2514480948448181, "lossB": 0.09081314504146576, "lossA_seg": 0.07795380055904388, "lossA_seg_bce": 0.007203686982393265, "lossA_seg_dice": 0.07075011730194092, "lossA_z": 0.027538690716028214, "lossA_q": 0.00945497676730156, "lossA_pos": 0.10538347065448761, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 07:24:25 {"step": 6200, "split": "iid", "loss": 0.3356097638607025, "lossA": 0.24352625012397766, "lossB": 0.09208352118730545, "lossA_seg": 0.0836610421538353, "lossA_seg_bce": 0.005118391942232847, "lossA_seg_dice": 0.07854264974594116, "lossA_z": 0.02447810396552086, "lossA_q": 0.008618289604783058, "lossA_pos": 0.11542556434869766, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 07:42:34 {"step": 6400, "split": "iid", "loss": 0.29112493991851807, "lossA": 0.2013905942440033, "lossB": 0.08973435312509537, "lossA_seg": 0.06613802164793015, "lossA_seg_bce": 0.002683749422430992, "lossA_seg_dice": 0.063454270362854, "lossA_z": 0.021091433241963387, "lossA_q": 0.0077828955836594105, "lossA_pos": 0.08805009722709656, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 07:59:32 {"step": 6600, "split": "iid", "loss": 0.2704617977142334, "lossA": 0.17963005602359772, "lossB": 0.09083174914121628, "lossA_seg": 0.057169109582901, "lossA_seg_bce": 0.0037900495808571577, "lossA_seg_dice": 0.053379058837890625, "lossA_z": 0.017964180558919907, "lossA_q": 0.006988080684095621, "lossA_pos": 0.1026078388094902, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 08:17:11 {"step": 6800, "split": "ood", "loss": 0.32498660683631897, "lossA": 0.22472147643566132, "lossB": 0.10026513040065765, "lossA_seg": 0.11411280184984207, "lossA_seg_bce": 0.026715464890003204, "lossA_seg_dice": 0.08739733695983887, "lossA_z": 0.016249649226665497, "lossA_q": 0.006371630355715752, "lossA_pos": 0.09195519983768463, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 08:36:09 {"step": 7000, "split": "ood", "loss": 0.2982751131057739, "lossA": 0.19762791693210602, "lossB": 0.10064718127250671, "lossA_seg": 0.09818106889724731, "lossA_seg_bce": 0.019658507779240608, "lossA_seg_dice": 0.07852256298065186, "lossA_z": 0.014599226415157318, "lossA_q": 0.005689612589776516, "lossA_pos": 0.0830443948507309, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 08:55:49 {"step": 7200, "split": "ood", "loss": 0.2913128137588501, "lossA": 0.1896623969078064, "lossB": 0.10165040194988251, "lossA_seg": 0.10005481541156769, "lossA_seg_bce": 0.02295525372028351, "lossA_seg_dice": 0.07709956169128418, "lossA_z": 0.01193865668028593, "lossA_q": 0.005255634430795908, "lossA_pos": 0.09863459318876266, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 09:16:05 {"step": 7400, "split": "iid", "loss": 0.2494928538799286, "lossA": 0.1597309708595276, "lossB": 0.0897618904709816, "lossA_seg": 0.07518868148326874, "lossA_seg_bce": 0.009716851636767387, "lossA_seg_dice": 0.0654718279838562, "lossA_z": 0.010918812826275826, "lossA_q": 0.004736171569675207, "lossA_pos": 0.10084827244281769, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 09:34:23 {"step": 7600, "split": "ood", "loss": 0.24274882674217224, "lossA": 0.13964448869228363, "lossB": 0.10310433059930801, "lossA_seg": 0.051539599895477295, "lossA_seg_bce": 0.007178721949458122, "lossA_seg_dice": 0.04436087608337402, "lossA_z": 0.010191906243562698, "lossA_q": 0.004378586076200008, "lossA_pos": 0.1011350229382515, "lossA_rank_img": 0.007483016699552536, "lossA_rank_cue": 0.0}
2026-05-14 09:52:32 {"step": 7800, "split": "ood", "loss": 0.30744123458862305, "lossA": 0.20627734065055847, "lossB": 0.10116390883922577, "lossA_seg": 0.12784375250339508, "lossA_seg_bce": 0.03100862167775631, "lossA_seg_dice": 0.09683513641357422, "lossA_z": 0.009628078900277615, "lossA_q": 0.004000600427389145, "lossA_pos": 0.09121789783239365, "lossA_rank_img": 0.0034881308674812317, "lossA_rank_cue": 0.0}
2026-05-14 10:11:45 {"step": 8000, "split": "ood", "loss": 0.23627585172653198, "lossA": 0.13491806387901306, "lossB": 0.10135778784751892, "lossA_seg": 0.07025785744190216, "lossA_seg_bce": 0.011234831064939499, "lossA_seg_dice": 0.05902302265167236, "lossA_z": 0.008271940983831882, "lossA_q": 0.0035470565780997276, "lossA_pos": 0.07901373505592346, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 10:30:21 {"step": 8200, "split": "iid", "loss": 0.20767563581466675, "lossA": 0.11827780306339264, "lossB": 0.08939782530069351, "lossA_seg": 0.05050656571984291, "lossA_seg_bce": 0.0027630648110061884, "lossA_seg_dice": 0.04774349927902222, "lossA_z": 0.007493120618164539, "lossA_q": 0.0033121684100478888, "lossA_pos": 0.1079738587141037, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 10:49:56 {"step": 8400, "split": "iid", "loss": 0.19988250732421875, "lossA": 0.10885444283485413, "lossB": 0.09102806448936462, "lossA_seg": 0.049054376780986786, "lossA_seg_bce": 0.0023394757881760597, "lossA_seg_dice": 0.0467149019241333, "lossA_z": 0.005784591659903526, "lossA_q": 0.0028861048631370068, "lossA_pos": 0.11196400225162506, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 11:08:51 {"step": 8600, "split": "iid", "loss": 0.2027248740196228, "lossA": 0.11116836965084076, "lossB": 0.09155650436878204, "lossA_seg": 0.04833891987800598, "lossA_seg_bce": 0.0021441266871988773, "lossA_seg_dice": 0.04619479179382324, "lossA_z": 0.00585832167416811, "lossA_q": 0.002753310138359666, "lossA_pos": 0.12313811480998993, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 11:27:59 {"step": 8800, "split": "ood", "loss": 0.23553143441677094, "lossA": 0.13335305452346802, "lossB": 0.10217837989330292, "lossA_seg": 0.07992755621671677, "lossA_seg_bce": 0.018020860850811005, "lossA_seg_dice": 0.06190669536590576, "lossA_z": 0.005453564692288637, "lossA_q": 0.002474656328558922, "lossA_pos": 0.09473209083080292, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 11:47:39 {"step": 9000, "split": "ood", "loss": 0.2165682166814804, "lossA": 0.11411474645137787, "lossB": 0.10245347023010254, "lossA_seg": 0.06251180171966553, "lossA_seg_bce": 0.011669754981994629, "lossA_seg_dice": 0.0508420467376709, "lossA_z": 0.005128741730004549, "lossA_q": 0.0023039868101477623, "lossA_pos": 0.09462101757526398, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 11:47:46 {"kind": "aslmt_v22_perceptual_localglobal_dynamic_infinite", "seed": 0, "n_classes": 8, "z_classes": 8, "train_ood_ratio": 0.5, "rank_ood_ratio": 0.5, "rank_n_ctx": 64, "rank_margin": 2.0, "w_z": 5.0, "w_k": 0.0, "w_q": 1.0, "w_pos": 0.25, "w_rank_img": 1.0, "w_rank_cue": 0.25, "w_bce": 1.0, "w_dice": 1.0, "bce_pos_weight": "auto", "metrics": {"iid": {"A_iou": 0.9818345159292221, "B_img_iou": 0.0, "B_cue_iou": 0.0, "z_acc": 1.0, "q_acc": 1.0, "res_acc": 1.0, "query_action_rate": 0.5009765625}, "ood": {"A_iou": 0.8561871144920588, "B_img_iou": 0.0, "B_cue_iou": 0.0, "z_acc": 1.0, "q_acc": 1.0, "res_acc": 1.0, "query_action_rate": 0.50439453125}}, "pair_eval": {"iid": {"n_ctx": 64, "ood": false, "obs_image_barrier_ok": true, "obs_cue_barrier_ok": true, "A_both_image_pair_rate": 1.0, "A_both_cue_pair_rate": 1.0, "B_image_only_both_rate": 0.0, "B_cue_only_both_rate": 0.0, "A_ablated_both_image_pair_rate": 0.0, "A_swap_follow_image_pair_rate": 1.0, "A_swap_orig_both_image_pair_rate": 0.0, "seed": 0}, "ood": {"n_ctx": 64, "ood": true, "obs_image_barrier_ok": true, "obs_cue_barrier_ok": true, "A_both_image_pair_rate": 1.0, "A_both_cue_pair_rate": 1.0, "B_image_only_both_rate": 0.0, "B_cue_only_both_rate": 0.0, "A_ablated_both_image_pair_rate": 0.0, "A_swap_follow_image_pair_rate": 1.0, "A_swap_orig_both_image_pair_rate": 0.0, "seed": 0}}}
2026-05-14 11:47:48 RC=0
